# >>> AUTO-GEN BEGIN: AE IAU Star Names (WGSN) v2024-03
# Derived from HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); official WGSN list as of 2023-03.
# Columns: name,hip,hr,ra_deg,dec_deg,notes
name,hip,hr,ra_deg,dec_deg,notes
Formosa,56508,4459,173.765655,20.441545,HD 100655; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Fulu,2920,153,9.242820,53.896909,Bayer/Flamsteed 17Zet Cas; Constellation Cas; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Fumalsamakah,113889,8773,345.969225,3.820045,Bayer/Flamsteed 4Bet Psc; Constellation Psc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Funi,61177,,188.031090,74.489551,HD 109246; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Furud,30122,2282,95.078295,-30.063367,Bayer/Flamsteed 1Zet CMa; Constellation CMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Fuyue,87261,6630,267.464475,-37.043304,HD 161892; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Gacrux,61084,4763,187.791435,-57.113212,Bayer/Flamsteed Gam Cru; Constellation Cru; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Gakyid,42446,,129.815850,12.960375,HD 73534; Constellation Cnc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Gar,62452,,191.985975,9.751397,Gliese 486; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Giausar,56211,4434,172.851105,69.331076,Bayer/Flamsteed 1Lam Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Gienah,59803,4662,183.951555,-17.541929,Bayer/Flamsteed 4Gam Crv; Constellation Crv; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ginan,60260,4700,185.340465,-60.401147,Bayer/Flamsteed Eps Cru; Constellation Cru; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Gomeisa,36188,2845,111.787680,8.289315,Bayer/Flamsteed 3Bet CMi; Constellation CMi; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Graffias,,5978,241.091610,-11.374611,Bayer/Flamsteed Xi  Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Groombridge 1830,57939,4550,178.242300,37.718679,HD 103095; Gliese 451A; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Groombridge 34,1475,,4.592610,44.022954,HD 1326; Gliese 15A; Constellation And; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Grumium,87585,6688,268.382010,56.872643,Bayer/Flamsteed 32Xi  Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Gudja,77450,5879,237.184905,18.141564,Bayer/Flamsteed 35Kap Ser; Constellation Ser; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Gumala,94645,7291,288.888420,-24.179352,HD 179949; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Guniibuu,84405,6401,258.837540,-26.602829,Bayer/Flamsteed 36    Oph; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Hadar,68702,5267,210.955935,-60.373039,Bayer/Flamsteed Bet Cen; Constellation Cen; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Haedus,23767,1641,76.628700,41.234474,Bayer/Flamsteed 10Eta Aur; Constellation Aur; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Hamal,9884,617,31.793325,23.462423,Bayer/Flamsteed 13Alp Ari; Constellation Ari; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Hassaleh,23015,1577,74.248410,33.166090,Bayer/Flamsteed 3Iot Aur; Constellation Aur; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Hatysa,26241,1899,83.858265,-5.909901,Bayer/Flamsteed 44Iot Ori; Constellation Ori; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Helvetios,113357,8729,344.366550,20.768832,Bayer/Flamsteed 51    Peg; Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Heze,66249,5107,203.673300,-0.595820,Bayer/Flamsteed 79Zet Vir; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Hoggar,21109,,67.856055,4.575287,HD 28678; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Homam,112029,8634,340.365495,10.831364,Bayer/Flamsteed 42Zet Peg; Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Hunahpú,55174,,169.448160,-23.975414,HD 98219; Constellation Crt; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Hunor,80076,,245.151495,41.048084,HD 147506; Constellation Her; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Iklil,78104,5928,239.221155,-29.214073,Bayer/Flamsteed 5Rho Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Illyrian,47087,,143.938260,34.780742,HD 82886; Constellation LMi; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Imai,59747,4656,183.786405,-58.748928,Bayer/Flamsteed Del Cru; Constellation Cru; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Inquill,84787,,259.964205,-48.549319,HD 156411; Constellation Ara; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Intan,15578,,50.177745,-33.730104,HD 20868; Constellation For; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Intercrus,46471,3743,142.166625,45.601483,HD 81688; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Itonda,108375,,329.332635,-37.763621,HD 208487; Constellation Gru; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Izar,72105,5505,221.246760,27.074222,Bayer/Flamsteed 36Eps Boo; Constellation Boo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Jabbah,79374,6027,242.998890,-19.460708,Bayer/Flamsteed 14Nu  Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Jishui,37265,2930,114.791400,34.584346,Bayer/Flamsteed 71Omi Gem; Constellation Gem; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kaewkosin,,,119.776230,15.392426,Gliese-Jahreiß 3470; Constellation Cnc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kaffaljidhma,12706,804,40.825170,3.235818,Bayer/Flamsteed 86Gam Cet; Constellation Cet; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kalausi,47202,,144.299265,-43.272205,HD 83443; Constellation Vel; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kamuy,79219,,242.516310,26.742750,HD 145457; Constellation CrB; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kang,69427,5315,213.223935,-10.273702,Bayer/Flamsteed 98Kap Vir; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kapteyn's Star,24186,,77.912535,-45.018417,HD 33793; Gliese 191; Constellation Pic; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Karaka,76351,,233.916930,-80.204587,HD 137388; Constellation Aps; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kaus Australis,90185,6879,276.043020,-34.384616,Bayer/Flamsteed 20Eps Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kaus Borealis,90496,6913,276.992685,-25.421700,Bayer/Flamsteed 22Lam Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kaus Media,89931,6859,275.248500,-29.828103,Bayer/Flamsteed 19Del Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kaveh,92895,,283.920345,4.265325,HD 175541; Gliese 736; Constellation Ser; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Keid,19849,1325,63.818055,-7.652871,Bayer/Flamsteed 40Omi2Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Khambalia,69974,5359,214.777470,-13.371095,Bayer/Flamsteed 100Lam Vir; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kitalpha,104987,8131,318.955965,5.247845,Bayer/Flamsteed 8Alp Equ; Constellation Equ; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kochab,72607,5563,222.676575,74.155505,Bayer/Flamsteed 7Bet UMi; Constellation UMi; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Koeia,12961,,41.678625,-23.086611,Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kornephoros,80816,6148,247.555020,21.489613,Bayer/Flamsteed 27Bet Her; Constellation Her; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kraz,61359,4786,188.596815,-23.396759,Bayer/Flamsteed 9Bet Crv; Constellation Crv; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kruger 60,110893,,336.999630,57.695875,HD 239960; Gliese 860A; Constellation Cep; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Kurhah,108917,8417,330.947025,64.627971,Bayer/Flamsteed 17Xi  Cep; Constellation Cep; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
La Superba,62223,4846,191.282610,45.440256,HD 110914; Constellation CVn; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Lacaille 8760,105090,,319.315875,-38.867362,HD 202560; Gliese 825; Constellation Mic; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Lacaille 9352,114046,,346.462965,-35.853073,HD 217987; Gliese 887; Constellation PsA; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Lalande 21185,54035,,165.834480,35.969877,HD 95735; Gliese 411; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Larawag,82396,6241,252.541200,-34.293232,Bayer/Flamsteed 26Eps Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Lesath,85696,6508,262.690980,-37.295811,Bayer/Flamsteed 34Ups Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Libertas,97938,7595,298.562010,8.461453,Bayer/Flamsteed 59Xi  Aql; Constellation Aql; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Liesma,66192,,203.510715,53.728529,HD 118203; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Lilii Borea,13061,824,41.977200,29.247118,Bayer/Flamsteed 39    Ari; Constellation Ari; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Lionrock,110813,,336.762810,-17.263658,HD 212771; Constellation Aqr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Lucilinburhuc,30860,,97.190490,38.962963,HD 45350; Constellation Aur; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Lusitânia,30905,,97.304955,10.933891,HD 45652; Constellation Mon; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Luyten's Star,36208,,111.852075,5.225785,Gliese 273; Constellation CMi; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Maasym,85693,6526,262.684620,26.110645,Bayer/Flamsteed 76Lam Her; Constellation Her; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Macondo,52521,,161.087190,-33.577022,HD 93083; Gliese-Jahreiß 1137; Constellation Ant; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mago,24003,1636,77.402715,69.639401,HD 32518; Constellation Cam; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mahasim,28380,2095,89.930265,37.212585,Bayer/Flamsteed 37The Aur; Constellation Aur; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mahsati,82651,,253.431585,11.973746,HD 152581; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Maia,17573,1149,56.456685,24.367748,Bayer/Flamsteed 20    Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Marfik,80883,6149,247.728435,1.983923,Bayer/Flamsteed 10Lam Oph; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Markab,113963,8781,346.190220,15.205264,Bayer/Flamsteed 54Alp Peg; Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Markeb,45941,3734,140.528430,-55.010668,Bayer/Flamsteed Kap Vel; Constellation Vel; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Marsic,79043,6008,242.018865,17.046980,Bayer/Flamsteed 7Kap Her; Constellation Her; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Maru,,,121.709040,-66.299883,Gliese-Jahreiß 3483; Constellation Vol; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Matar,112158,8650,340.750560,30.221245,Bayer/Flamsteed 44Eta Peg; Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Matza,65426,,201.150450,-51.504458,HD 116434; Constellation Cen; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mebsuta,32246,2473,100.983030,25.131124,Bayer/Flamsteed 27Eps Gem; Constellation Gem; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Megrez,59774,4660,183.856290,57.032617,Bayer/Flamsteed 69Del UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Meissa,26207,1879,83.784495,9.934158,Bayer/Flamsteed 39Lam Ori; Constellation Ori; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mekbuda,34088,2650,106.027215,20.570297,Bayer/Flamsteed 43Zet Gem; Constellation Gem; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Meleph,42556,3429,130.112550,19.544808,Bayer/Flamsteed 41Eps Cnc; Constellation Cnc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Menkalinan,28360,2088,89.882235,44.947433,Bayer/Flamsteed 34Bet Aur; Constellation Aur; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Menkar,14135,911,45.569880,4.089734,Bayer/Flamsteed 92Alp Cet; Constellation Cet; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Menkent,68933,5288,211.670925,-36.369954,Bayer/Flamsteed 5The Cen; Constellation Cen; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Menkib,18614,1228,59.741250,35.791033,Bayer/Flamsteed 46Xi  Per; Constellation Per; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Merak,53910,4295,165.460155,56.382427,Bayer/Flamsteed 48Bet UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Merga,72487,5533,222.327795,46.116205,Bayer/Flamsteed 38    Boo; Constellation Boo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Meridiana,94114,7254,287.368035,-37.904474,Bayer/Flamsteed Alp CrA; Constellation CrA; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Merope,17608,1156,56.581560,23.948358,Bayer/Flamsteed 23    Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mesarthim,8832,546,28.382550,19.293852,Bayer/Flamsteed 5Gam2Ari; Constellation Ari; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Miaplacidus,45238,3685,138.300615,-69.717208,Bayer/Flamsteed Bet Car; Constellation Car; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mimosa,62434,4853,191.930385,-59.688764,Bayer/Flamsteed Bet Cru; Constellation Cru; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Minchir,42402,3418,129.689325,3.341435,Bayer/Flamsteed 5Sig Hya; Constellation Hya; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Minelauva,63090,4910,193.900875,3.397470,Bayer/Flamsteed 43Del Vir; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mintaka,25930,1852,83.001675,-0.299092,Bayer/Flamsteed 34Del Ori; Constellation Ori; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mira,10826,681,34.836630,-2.977643,Bayer/Flamsteed 68Omi Cet; Constellation Cet; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mirach,5447,337,17.432910,35.620558,Bayer/Flamsteed 43Bet And; Constellation And; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Miram,13268,834,42.674175,55.895496,Bayer/Flamsteed 15Eta Per; Constellation Per; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mirfak,15863,1017,51.080670,49.861180,Bayer/Flamsteed 33Alp Per; Constellation Per; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mirzam,30324,2294,95.674935,-17.955918,Bayer/Flamsteed 2Bet CMa; Constellation CMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Misam,14668,941,47.373870,44.857544,Bayer/Flamsteed 27Kap Per; Constellation Per; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mizar,65378,5054,200.981205,54.925362,Bayer/Flamsteed 79Zet UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mothallah,8796,544,28.270440,29.578829,Bayer/Flamsteed 2Alp Tri; Constellation Tri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mouhoun,22491,,72.574425,-24.368839,HD 30856; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Muliphein,34045,2657,105.939555,-15.633286,Bayer/Flamsteed 23Gam CMa; Constellation CMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Muphrid,67927,5235,208.671165,18.397717,Bayer/Flamsteed 8Eta Boo; Constellation Boo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Muscida,41704,3323,127.566465,60.718169,Bayer/Flamsteed 1Omi UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Musica,103527,8030,314.608065,10.839286,Bayer/Flamsteed 18    Del; Constellation Del; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Mönch,72339,,221.886360,-0.281476,HD 130322; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nahn,44946,3627,137.339730,22.045446,Bayer/Flamsteed 77Xi  Cnc; Constellation Cnc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Naos,39429,3165,120.896055,-40.003148,Bayer/Flamsteed Zet Pup; Constellation Pup; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nashira,106985,8278,325.022715,-16.662308,Bayer/Flamsteed 40Gam Cap; Constellation Cap; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Natasha,48235,,147.510375,-49.790266,HD 85390; Constellation Vel; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nekkar,73555,5602,225.486540,40.390566,Bayer/Flamsteed 42Bet Boo; Constellation Boo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nembus,7607,464,24.498075,48.628213,Bayer/Flamsteed 51    And; Constellation And; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nenque,5054,,16.167420,-39.488217,HD 6434; Gliese-Jahreiß 9037; Constellation Phe; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nervia,32916,,102.877125,40.867756,HD 49674; Constellation Aur; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nganurganity,33856,2646,105.429780,-27.934830,Bayer/Flamsteed 22Sig CMa; Constellation CMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nihal,25606,1829,82.061340,-20.759441,Bayer/Flamsteed 9Bet Lep; Constellation Lep; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nikawiy,74961,,229.775775,41.733207,HD 136418; Constellation Boo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Noquisi,57087,,175.545960,26.706570,Gliese 436; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nosaxa,31895,,100.007160,-48.541955,HD 48265; Constellation Pup; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nunki,92855,7121,283.816350,-26.296722,Bayer/Flamsteed 34Sig Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nusakan,75695,5747,231.957270,29.105703,Bayer/Flamsteed 3Bet CrB; Constellation CrB; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Nushagak,13192,,42.434880,71.753232,HD 17156; Constellation Cas; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Násti,40687,,124.592040,61.460722,HD 68988; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ogma,80838,,247.623465,38.347310,HD 149026; Constellation Her; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Okab,93747,7235,286.352535,13.863478,Bayer/Flamsteed 17Zet Aql; Constellation Aql; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Onkaria,,,258.827910,4.961607,Gliese-Jahreiß 1214; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
p Eridani,7751,486,24.947535,-56.196400,HD 10360; Gliese 66B; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
p Eridani,,487,24.945045,-56.194620,HD 10361; Gliese 66A; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Paikauhale,81266,6165,248.970645,-28.216016,Bayer/Flamsteed 23Tau Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Peacock,100751,7790,306.411885,-56.735090,Bayer/Flamsteed Alp Pav; Constellation Pav; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Phact,26634,1956,84.912255,-34.074108,Bayer/Flamsteed Alp Col; Constellation Col; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Phecda,58001,4554,178.457520,53.694760,Bayer/Flamsteed 64Gam UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Pherkad,75097,5735,230.182245,71.834016,Bayer/Flamsteed 13Gam UMi; Constellation UMi; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Piautos,40881,3268,125.133900,24.022314,Bayer/Flamsteed 19Lam Cnc; Constellation Cnc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Pincoya,88414,,270.778905,-28.560643,HD 164604; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Pipirima,82545,6252,253.083945,-38.017536,Bayer/Flamsteed Mu 2Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Pleione,17851,1180,57.296730,24.136712,Bayer/Flamsteed 28    Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Poerava,116084,,352.834350,-58.209733,HD 221287; Constellation Tuc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Polaris,11767,424,37.946250,89.264109,Bayer/Flamsteed 1Alp UMi; Constellation UMi; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Polaris Australis,104382,7228,317.191785,-88.956499,Bayer/Flamsteed Sig Oct; Constellation Oct; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Polis,89341,6812,273.440880,-21.058834,Bayer/Flamsteed 13Mu  Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Pollux,37826,2990,116.329155,28.026199,Bayer/Flamsteed 78Bet Gem; Constellation Gem; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Porrima,61941,4825,190.415175,-1.449375,Bayer/Flamsteed 29Gam Vir; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Praecipua,53229,4247,163.327890,34.214871,Bayer/Flamsteed 46    LMi; Constellation LMi; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Prima Hyadum,20205,1346,64.948335,15.627642,Bayer/Flamsteed 54Gam Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Procyon,37279,2943,114.825495,5.224993,Bayer/Flamsteed 10Alp CMi; Constellation CMi; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Propus,29655,2216,93.719415,22.506799,Bayer/Flamsteed 7Eta Gem; Constellation Gem; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Proxima Centauri,70890,,217.439775,-62.679485,Gliese 551; Constellation Cen; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ran,16537,1084,53.232720,-9.458262,Bayer/Flamsteed 18Eps Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Rana,17378,1136,55.812090,-9.763395,Bayer/Flamsteed 23Del Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Rapeto,83547,,256.128525,-43.309770,HD 153950; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ras Elased Australis,47908,3873,146.462820,23.774255,Bayer/Flamsteed 17Eps Leo; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Rasalas,48455,3905,148.190970,26.006951,Bayer/Flamsteed 24Mu  Leo; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Rasalgethi,84345,6406,258.661905,14.390333,Bayer/Flamsteed 64Alp1Her; Constellation Her; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Rasalhague,86032,6556,263.733615,12.560035,Bayer/Flamsteed 55Alp Oph; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Rastaban,85670,6536,262.608195,52.301387,Bayer/Flamsteed 23Bet Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Red Rectangle,30089,,94.992570,-10.637414,HD 44179; Constellation Mon; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Regulus,49669,3982,152.092980,11.967207,Bayer/Flamsteed 32Alp Leo; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Revati,5737,361,18.432855,7.575354,Bayer/Flamsteed 86Zet Psc; Constellation Psc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Rigel,24436,1713,78.634470,-8.201640,Bayer/Flamsteed 19Bet Ori; Constellation Ori; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Rigil Kentaurus,71683,5459,219.911475,-60.833976,Bayer/Flamsteed Alp1Cen; Constellation Cen; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Rosalíadecastro,81022,,248.212710,2.084832,HD 149143; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ross 128,57548,,176.934990,0.804563,Gliese 447; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ross 154,92403,,282.455535,-23.836232,Gliese 729; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ross 248,,,355.475685,44.174924,Gliese 905; Constellation And; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
